State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
33,632,0000,000000,0000,000000,TAMIL NADU,Coimbatore,CD BLOCK,Not under any CD Block,Total,114,346,181,165,39,29,10,26,18,8,217,108,109,197,110,87,149,71,78,201,111,90,58,40,18,0,0,0,24,10,14,0,0,0,34,30,4,143,71,72,0,0,0,139,69,70,0,0,0,4,2,2,73,69,4,0,0,0,69,67,2,0,0,0,4,2,2,70,2,68,0,0,0,70,2,68,0,0,0,0,0,0,145,70,75
33,632,0000,000000,0000,000000,TAMIL NADU,Coimbatore,CD BLOCK,Not under any CD Block,Rural,114,346,181,165,39,29,10,26,18,8,217,108,109,197,110,87,149,71,78,201,111,90,58,40,18,0,0,0,24,10,14,0,0,0,34,30,4,143,71,72,0,0,0,139,69,70,0,0,0,4,2,2,73,69,4,0,0,0,69,67,2,0,0,0,4,2,2,70,2,68,0,0,0,70,2,68,0,0,0,0,0,0,145,70,75
33,632,0000,000000,0000,000000,TAMIL NADU,Coimbatore,CD BLOCK,Not under any CD Block,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,632,0000,644361,0000,000000,TAMIL NADU,Coimbatore,VILLAGE,Hulical Drug R.F.,Rural,8,37,14,23,1,1,0,0,0,0,37,14,23,19,8,11,18,6,12,24,10,14,24,10,14,0,0,0,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,9
33,632,0000,644362,0000,000000,TAMIL NADU,Coimbatore,VILLAGE,NellimalaiR.F.,Rural,28,85,48,37,16,10,6,26,18,8,9,4,5,66,38,28,19,10,9,32,29,3,32,29,3,0,0,0,0,0,0,0,0,0,32,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,19,34
33,632,0000,644470,0000,000000,TAMIL NADU,Coimbatore,VILLAGE,Boluvampatti(R.F),Rural,78,224,119,105,22,18,4,0,0,0,171,90,81,112,64,48,112,55,57,145,72,73,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,143,71,72,0,0,0,139,69,70,0,0,0,4,2,2,73,69,4,0,0,0,69,67,2,0,0,0,4,2,2,70,2,68,0,0,0,70,2,68,0,0,0,0,0,0,79,47,32
33,632,0361,000000,0000,000000,TAMIL NADU,Coimbatore,CD BLOCK,Karamadai,Total,39644,137448,68581,68867,11671,5841,5830,26320,13100,13220,7813,3879,3934,91146,49994,41152,46302,18587,27715,70469,44754,25715,62175,40794,21381,10695,6791,3904,18686,10571,8115,3607,2080,1527,29187,21352,7835,8294,3960,4334,713,325,388,3229,1469,1760,580,223,357,3772,1943,1829,7112,3544,3568,630,286,344,2729,1319,1410,452,181,271,3301,1758,1543,1182,416,766,83,39,44,500,150,350,128,42,86,471,185,286,66979,23827,43152
33,632,0361,000000,0000,000000,TAMIL NADU,Coimbatore,CD BLOCK,Karamadai,Rural,39644,137448,68581,68867,11671,5841,5830,26320,13100,13220,7813,3879,3934,91146,49994,41152,46302,18587,27715,70469,44754,25715,62175,40794,21381,10695,6791,3904,18686,10571,8115,3607,2080,1527,29187,21352,7835,8294,3960,4334,713,325,388,3229,1469,1760,580,223,357,3772,1943,1829,7112,3544,3568,630,286,344,2729,1319,1410,452,181,271,3301,1758,1543,1182,416,766,83,39,44,500,150,350,128,42,86,471,185,286,66979,23827,43152
33,632,0361,000000,0000,000000,TAMIL NADU,Coimbatore,CD BLOCK,Karamadai,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,632,0361,644340,0000,000000,TAMIL NADU,Coimbatore,VILLAGE,Chinnakallipatti,Rural,1098,3858,1958,1900,353,187,166,945,476,469,0,0,0,2226,1280,946,1632,678,954,2044,1291,753,1928,1234,694,516,331,185,840,491,349,18,15,3,554,397,157,116,57,59,16,9,7,64,31,33,4,1,3,32,16,16,99,50,49,15,9,6,55,27,28,1,0,1,28,14,14,17,7,10,1,0,1,9,4,5,3,1,2,4,2,2,1814,667,1147
