State Code,District Code,Tahsil/ Sub-District Code,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Scheduled Caste - Persons,Scheduled Caste - Males,Scheduled Caste - Females,Scheduled Tribe - Persons,Scheduled Tribe - Males,Scheduled Tribe - Females
33,02,0000,00000000,0,0,DISTRICT,Chennai,Total,4343645,2219539,2124106,598110,301835,296275,6728,3368,3360
33,02,0000,00000000,0,0,DISTRICT,Chennai,Rural,0,0,0,0,0,0,0,0,0
33,02,0000,00000000,0,0,DISTRICT,Chennai,Urban,4343645,2219539,2124106,598110,301835,296275,6728,3368,3360
33,02,0000,40201000,0,0,TOWN,Chennai (M Corp.),Urban,4343645,2219539,2124106,598110,301835,296275,6728,3368,3360
33,02,0000,40201000,1,0,WARD,Chennai (M Corp.) - Ward No.1,Urban,57723,29449,28274,4477,2271,2206,46,21,25
33,02,0000,40201000,2,0,WARD,Chennai (M Corp.) - Ward No.2,Urban,50385,25836,24549,7726,3932,3794,82,41,41
33,02,0000,40201000,3,0,WARD,Chennai (M Corp.) - Ward No.3,Urban,43112,22029,21083,1610,799,811,18,7,11
33,02,0000,40201000,4,0,WARD,Chennai (M Corp.) - Ward No.4,Urban,20961,10582,10379,4945,2468,2477,32,17,15
33,02,0000,40201000,5,0,WARD,Chennai (M Corp.) - Ward No.5,Urban,38446,19373,19073,5179,2624,2555,25,10,15
33,02,0000,40201000,6,0,WARD,Chennai (M Corp.) - Ward No.6,Urban,22210,11216,10994,2870,1446,1424,0,0,0
33,02,0000,40201000,7,0,WARD,Chennai (M Corp.) - Ward No.7,Urban,21720,10970,10750,1027,511,516,5,3,2
33,02,0000,40201000,8,0,WARD,Chennai (M Corp.) - Ward No.8,Urban,31558,15857,15701,2579,1275,1304,48,25,23
33,02,0000,40201000,9,0,WARD,Chennai (M Corp.) - Ward No.9,Urban,19301,9851,9450,209,109,100,5,2,3
33,02,0000,40201000,10,0,WARD,Chennai (M Corp.) - Ward No.10,Urban,38511,19372,19139,3654,1838,1816,1,1,0
33,02,0000,40201000,11,0,WARD,Chennai (M Corp.) - Ward No.11,Urban,28146,14185,13961,11249,5682,5567,24,8,16
33,02,0000,40201000,12,0,WARD,Chennai (M Corp.) - Ward No.12,Urban,17071,8445,8626,390,176,214,0,0,0
33,02,0000,40201000,13,0,WARD,Chennai (M Corp.) - Ward No.13,Urban,21192,10717,10475,2747,1358,1389,11,7,4
33,02,0000,40201000,14,0,WARD,Chennai (M Corp.) - Ward No.14,Urban,32373,16511,15862,5153,2608,2545,21,10,11
33,02,0000,40201000,15,0,WARD,Chennai (M Corp.) - Ward No.15,Urban,21589,11127,10462,356,195,161,0,0,0
33,02,0000,40201000,16,0,WARD,Chennai (M Corp.) - Ward No.16,Urban,23959,12098,11861,2455,1265,1190,65,35,30
33,02,0000,40201000,17,0,WARD,Chennai (M Corp.) - Ward No.17,Urban,24152,11998,12154,1713,828,885,0,0,0
33,02,0000,40201000,18,0,WARD,Chennai (M Corp.) - Ward No.18,Urban,15719,7931,7788,278,136,142,4,2,2
33,02,0000,40201000,19,0,WARD,Chennai (M Corp.) - Ward No.19,Urban,17174,8269,8905,589,229,360,0,0,0
33,02,0000,40201000,20,0,WARD,Chennai (M Corp.) - Ward No.20,Urban,16921,8742,8179,2317,1204,1113,0,0,0
33,02,0000,40201000,21,0,WARD,Chennai (M Corp.) - Ward No.21,Urban,19681,9850,9831,1957,982,975,7,3,4
33,02,0000,40201000,22,0,WARD,Chennai (M Corp.) - Ward No.22,Urban,27698,14081,13617,8403,4294,4109,47,21,26
33,02,0000,40201000,23,0,WARD,Chennai (M Corp.) - Ward No.23,Urban,16510,8557,7953,906,481,425,0,0,0
33,02,0000,40201000,24,0,WARD,Chennai (M Corp.) - Ward No.24,Urban,17326,9280,8046,1109,569,540,8,2,6
33,02,0000,40201000,25,0,WARD,Chennai (M Corp.) - Ward No.25,Urban,17669,8870,8799,3118,1432,1686,220,118,102
33,02,0000,40201000,26,0,WARD,Chennai (M Corp.) - Ward No.26,Urban,22797,11877,10920,3191,1624,1567,18,6,12
33,02,0000,40201000,27,0,WARD,Chennai (M Corp.) - Ward No.27,Urban,17999,9884,8115,4120,2091,2029,40,25,15
33,02,0000,40201000,28,0,WARD,Chennai (M Corp.) - Ward No.28,Urban,24788,13654,11134,3849,2039,1810,58,24,34
33,02,0000,40201000,29,0,WARD,Chennai (M Corp.) - Ward No.29,Urban,16769,8830,7939,1695,834,861,5,2,3
33,02,0000,40201000,30,0,WARD,Chennai (M Corp.) - Ward No.30,Urban,16718,8970,7748,2629,1386,1243,0,0,0
33,02,0000,40201000,31,0,WARD,Chennai (M Corp.) - Ward No.31,Urban,25845,13272,12573,14794,7424,7370,0,0,0
33,02,0000,40201000,32,0,WARD,Chennai (M Corp.) - Ward No.32,Urban,37155,18900,18255,18966,9471,9495,19,11,8
33,02,0000,40201000,33,0,WARD,Chennai (M Corp.) - Ward No.33,Urban,34667,17770,16897,8253,4199,4054,50,25,25
33,02,0000,40201000,34,0,WARD,Chennai (M Corp.) - Ward No.34,Urban,38650,19578,19072,2850,1410,1440,18,8,10
33,02,0000,40201000,35,0,WARD,Chennai (M Corp.) - Ward No.35,Urban,26359,13603,12756,2062,1014,1048,12,5,7
33,02,0000,40201000,36,0,WARD,Chennai (M Corp.) - Ward No.36,Urban,39649,20182,19467,11293,5650,5643,306,157,149
33,02,0000,40201000,37,0,WARD,Chennai (M Corp.) - Ward No.37,Urban,22692,11408,11284,1243,607,636,7,2,5
